latitude,longitude,confidence,lat_km,long_km,distance,power,count,country,coor
17.2441,96.6869,64,1937,10763,312.94727990509836,19.62,1,Myanmar,"(10763, 1937)"
17.255,102.7693,54,1938,11440,457.4734965000705,7.26,1,Thailand,"(11440, 1938)"
17.2692,100.6255,0,1940,11202,254.59379411132545,17.1,1,Thailand,"(11202, 1940)"
17.2968,101.7243,71,1943,11324,351.1424212481312,10.1,1,Thailand,"(11324, 1943)"
16.7849,100.33200000000001,74,1883,11169,277.94963572561124,9.5,1,Thailand,"(11169, 1883)"
17.3346,96.6789,62,1947,10762,308.1379561170613,16.2,1,Myanmar,"(10762, 1947)"
18.2285,102.5689,67,2051,11418,404.42180950092194,8.25,1,Laos,"(11418, 2051)"
17.1789,96.2367,63,1929,10713,359.13785653979727,21.696,1,Myanmar,"(10713, 1929)"
16.7798,95.9962,76,1883,10686,406.9950859654205,57.902,1,Myanmar,"(10686, 1883)"
16.8659,100.3228,47,1893,11168,269.02973813316623,6.0,1,Thailand,"(11168, 1893)"
16.6694,98.5878,52,1870,10975,250.88842141477954,8.184000000000001,1,Thailand,"(10975, 1870)"
16.7117,100.3342,66,1875,11169,284.7174037532655,6.5,1,Thailand,"(11169, 1875)"
14.9457,100.2997,63,1672,11165,468.3385527585787,7.5,1,Thailand,"(11165, 1672)"
15.0172,99.6578,80,1680,11094,443.3892195351619,19.03,1,Thailand,"(11094, 1680)"
15.0343,100.7744,29,1682,11218,478.35760681732665,10.4,1,Thailand,"(11218, 1682)"
15.0432,100.773,26,1683,11218,477.4484265342174,9.2,1,Thailand,"(11218, 1683)"
15.1304,100.0529,57,1693,11138,440.3827880378614,6.8,1,Thailand,"(11138, 1693)"
15.283,100.9031,40,1711,11232,458.4811882727577,10.7,1,Thailand,"(11232, 1711)"
15.466,102.8504,33,1732,11449,577.1698190307598,10.340000000000002,1,Thailand,"(11449, 1732)"
15.5039,103.1282,40,1736,11480,598.0652138354144,11.44,1,Thailand,"(11480, 1736)"
15.5888,100.5358,56,1746,11192,409.35314827175796,11.9,1,Thailand,"(11192, 1746)"
15.7248,99.8346,66,1761,11114,368.45759593201484,9.02,1,Thailand,"(11114, 1761)"
15.7292,100.4247,67,1762,11179,389.39054944875085,8.7,1,Thailand,"(11179, 1762)"
15.9807,101.2038,40,1791,11266,409.0048899463184,6.9,1,Thailand,"(11266, 1791)"
15.5874,100.5265,82,1746,11191,408.93153461184687,20.4,1,Thailand,"(11191, 1746)"
16.0229,100.0437,63,1796,11137,342.00146198517916,6.5,1,Thailand,"(11137, 1796)"
16.6607,100.368,67,1869,11173,291.9246478117256,8.4,1,Thailand,"(11173, 1869)"
15.9869,103.9921,80,1791,11576,645.3874805107394,70.35600000000001,1,Thailand,"(11576, 1791)"
14.9364,100.3553,49,1671,11172,471.51352048483193,6.3,1,Thailand,"(11172, 1671)"
16.2886,99.6562,84,1826,11094,300.5095672353877,27.06,1,Thailand,"(11094, 1826)"
16.2788,103.646,63,1825,11538,595.5039882318171,13.068,1,Thailand,"(11538, 1825)"
16.2785,100.4632,30,1825,11184,335.393798392278,6.6,1,Thailand,"(11184, 1825)"
16.3074,100.535,78,1828,11192,336.82339586198583,13.0,1,Thailand,"(11192, 1828)"
16.2194,102.0481,60,1818,11360,453.52177455994325,10.0,1,Thailand,"(11360, 1818)"
16.2044,100.3945,70,1816,11176,339.4849039353591,9.1,1,Thailand,"(11176, 1816)"
16.156,100.3159,60,1811,11167,339.91175325369375,6.2,1,Thailand,"(11167, 1811)"
16.034000000000002,102.17299999999999,66,1797,11374,477.93828053421294,10.1,1,Thailand,"(11374, 1797)"
16.2207,102.0574,60,1818,11361,454.27414630374886,10.0,1,Thailand,"(11361, 1818)"
19.9011,99.9677,45,2247,11128,169.64963896218583,6.9,1,Thailand,"(11128, 2247)"
